Wilaya,Product,Production(qx),SizeofLandUsed(ha),Season,Price(da/qx),Consumption
ADRAR,Wheat,375243,10089,Winter,3669,484051
ADRAR,Wheat,0,10089,Spring,3993,264993
ADRAR,Wheat,0,10089,Summer,3355,228149
ADRAR,Wheat,0,10089,Fall,1743,610863
CHLEF,Wheat,1438090,65888,Winter,2263,596104
CHLEF,Wheat,0,65888,Spring,2678,934077
CHLEF,Wheat,0,65888,Summer,2874,197977
CHLEF,Wheat,0,65888,Fall,5725,872023
LAGHOUAT,Wheat,128070,6066,Winter,1827,798138
LAGHOUAT,Wheat,0,6066,Spring,4742,789447
LAGHOUAT,Wheat,0,6066,Summer,2976,978156
LAGHOUAT,Wheat,0,6066,Fall,1636,568493
OumElBouaghi,Wheat,630000,59200,Winter,2232,594099
OumElBouaghi,Wheat,0,59200,Spring,1568,278322
OumElBouaghi,Wheat,0,59200,Summer,1582,638325
OumElBouaghi,Wheat,0,59200,Fall,2518,225295
BATNA,Wheat,554063,50214,Winter,4511,28614
BATNA,Wheat,0,50214,Spring,1189,733457
BATNA,Wheat,0,50214,Summer,5263,824802
BATNA,Wheat,0,50214,Fall,2017,410319
BEJAIA,Wheat,130867,5483,Winter,2851,316161
BEJAIA,Wheat,0,5483,Spring,1976,161417
BEJAIA,Wheat,0,5483,Summer,3578,61175
BEJAIA,Wheat,0,5483,Fall,3182,429407
BISKRA,Wheat,502310,12777,Winter,3656,181850
BISKRA,Wheat,0,12777,Spring,5673,96493
BISKRA,Wheat,0,12777,Summer,3041,401205
BISKRA,Wheat,0,12777,Fall,5587,264779
BECHAR,Wheat,4779,180,Winter,1739,411228
BECHAR,Wheat,0,180,Spring,3222,406218
BECHAR,Wheat,0,180,Summer,3408,830156
BECHAR,Wheat,0,180,Fall,4533,569745
BLIDA,Wheat,174108,6485,Winter,5403,105238
BLIDA,Wheat,0,6485,Spring,2958,867451
BLIDA,Wheat,0,6485,Summer,1784,262192
BLIDA,Wheat,0,6485,Fall,5205,512323
BOUIRA,Wheat,1422807,43925,Winter,3491,530519
BOUIRA,Wheat,0,43925,Spring,3271,752882
BOUIRA,Wheat,0,43925,Summer,5290,223842
BOUIRA,Wheat,0,43925,Fall,3517,198210
TAMANRASSET,Wheat,11343,515,Winter,2106,908870
TAMANRASSET,Wheat,0,515,Spring,4871,178171
TAMANRASSET,Wheat,0,515,Summer,5864,325931
TAMANRASSET,Wheat,0,515,Fall,1876,529854
TEBESSA,Wheat,326100,83000,Winter,3758,285508
TEBESSA,Wheat,0,83000,Spring,5222,242485
TEBESSA,Wheat,0,83000,Summer,1831,294066
TEBESSA,Wheat,0,83000,Fall,1697,449752
TLEMCEN,Wheat,874980,53000,Winter,2846,352755
TLEMCEN,Wheat,0,53000,Spring,1789,264919
TLEMCEN,Wheat,0,53000,Summer,4708,650715
TLEMCEN,Wheat,0,53000,Fall,3826,533931
TIARET,Wheat,2488000,135000,Winter,2254,59321
TIARET,Wheat,0,135000,Spring,3284,728992
TIARET,Wheat,0,135000,Summer,2494,161424
TIARET,Wheat,0,135000,Fall,4946,499455
TiziOuzou,Wheat,157341,7240,Winter,4338,394102
TiziOuzou,Wheat,0,7240,Spring,4610,283282
TiziOuzou,Wheat,0,7240,Summer,1762,390718
TiziOuzou,Wheat,0,7240,Fall,4575,68803
ALGIERS,Wheat,48460,1691,Winter,2635,719776
ALGIERS,Wheat,0,1691,Spring,1930,856109
ALGIERS,Wheat,0,1691,Summer,1934,410871
ALGIERS,Wheat,0,1691,Fall,2066,379950
DJELFA,Wheat,121330,9913,Winter,4175,989080
DJELFA,Wheat,0,9913,Spring,3392,336365
DJELFA,Wheat,0,9913,Summer,5368,289495
DJELFA,Wheat,0,9913,Fall,4190,879218
JIJEL,Wheat,18160,765,Winter,4021,148415
JIJEL,Wheat,0,765,Spring,2815,123035
JIJEL,Wheat,0,765,Summer,2537,851554
JIJEL,Wheat,0,765,Fall,2544,736497
SETIF,Wheat,2458253,127416,Winter,5819,559001
SETIF,Wheat,0,127416,Spring,5236,685803
SETIF,Wheat,0,127416,Summer,1147,368596
SETIF,Wheat,0,127416,Fall,4080,185001
SAIDA,Wheat,658410,32338,Winter,3276,270334
SAIDA,Wheat,0,32338,Spring,4350,770159
SAIDA,Wheat,0,32338,Summer,3131,152682
SAIDA,Wheat,0,32338,Fall,3993,552558
SKIKDA,Wheat,583341,26550,Winter,2532,375164
SKIKDA,Wheat,0,26550,Spring,5088,325361
SKIKDA,Wheat,0,26550,Summer,5845,50512
SKIKDA,Wheat,0,26550,Fall,2767,30559
SidiBelAbbes,Wheat,620048,38771,Winter,3953,716977
SidiBelAbbes,Wheat,0,38771,Spring,4607,373576
SidiBelAbbes,Wheat,0,38771,Summer,2662,542235
SidiBelAbbes,Wheat,0,38771,Fall,4175,946359
ANNABA,Wheat,390863,12835,Winter,4816,390926
ANNABA,Wheat,0,12835,Spring,5957,513005
ANNABA,Wheat,0,12835,Summer,5874,202156
ANNABA,Wheat,0,12835,Fall,3177,801449
GUELMA,Wheat,2149081,66035,Winter,4804,675823
GUELMA,Wheat,0,66035,Spring,1957,273126
GUELMA,Wheat,0,66035,Summer,2095,893197
GUELMA,Wheat,0,66035,Fall,4998,413626
CONSTANTINE,Wheat,1907808,54097,Winter,3278,750577
CONSTANTINE,Wheat,0,54097,Spring,2954,515074
CONSTANTINE,Wheat,0,54097,Summer,2781,118274
CONSTANTINE,Wheat,0,54097,Fall,4216,152223
MEDEA,Wheat,1401337,69394,Winter,3139,768778
MEDEA,Wheat,0,69394,Spring,4468,767341
MEDEA,Wheat,0,69394,Summer,2943,366594
MEDEA,Wheat,0,69394,Fall,5015,66489
MOSTAGANEM,Wheat,152792,6106,Winter,2503,627038
MOSTAGANEM,Wheat,0,6106,Spring,3196,966567
MOSTAGANEM,Wheat,0,6106,Summer,4364,428181
MOSTAGANEM,Wheat,0,6106,Fall,4194,603773
Msila,Wheat,157000,10020,Winter,4738,352696
Msila,Wheat,0,10020,Spring,2652,160083
Msila,Wheat,0,10020,Summer,2426,257287
Msila,Wheat,0,10020,Fall,3720,907069
MASCARA,Wheat,637000,42500,Winter,2675,583852
MASCARA,Wheat,0,42500,Spring,4720,310362
MASCARA,Wheat,0,42500,Summer,5460,411839
MASCARA,Wheat,0,42500,Fall,1002,478766
OUARGLA,Wheat,72023,2002,Winter,5115,175411
OUARGLA,Wheat,0,2002,Spring,5715,276658
OUARGLA,Wheat,0,2002,Summer,4157,15654
