Wilaya,Product,Production(qx),SizeofLandUsed(ha),Season,Price(da/qx),Consumption
ADRAR,Cereals,18583,18583,Winter,5456,351013
ADRAR,Cereals,18583,18583,Fall,2829,5989
ADRAR,Cereals,1343,1343,Summer,1771,358811
ADRAR,Cereals,1343,1343,Spring,1268,487183
ADRAR,Legumes,138,138,Winter,1030,49531
ADRAR,Legumes,138,138,Fall,1767,793290
ADRAR,Legumes,138,138,Summer,5931,969571
ADRAR,Legumes,138,138,Spring,4685,869150
ADRAR,Forage,3971,3971,Winter,1665,900311
ADRAR,Forage,3971,3971,Fall,5726,15956
ADRAR,Forage,3971,3971,Summer,1446,470997
ADRAR,Forage,3971,3971,Spring,4764,282505
CHLEF,Cereals,92492,92492,Winter,4306,338923
CHLEF,Cereals,92492,92492,Fall,4187,749585
CHLEF,Cereals,0,0,Summer,2103,601838
CHLEF,Cereals,0,0,Spring,2029,195041
CHLEF,Legumes,9422,9422,Winter,4939,593131
CHLEF,Legumes,9422,9422,Fall,1349,96436
CHLEF,Legumes,9422,9422,Summer,3071,622525
CHLEF,Legumes,9422,9422,Spring,2376,922583
CHLEF,Forage,22502,22502,Winter,5544,421615
CHLEF,Forage,22502,22502,Fall,1996,854932
CHLEF,Forage,22502,22502,Summer,2689,903496
CHLEF,Forage,22502,22502,Spring,4073,291922
Laghouat,Cereals,32577,32577,Winter,3850,520218
Laghouat,Cereals,32577,32577,Fall,3080,773613
Laghouat,Cereals,0,0,Summer,1583,604677
Laghouat,Cereals,0,0,Spring,4915,611446
Laghouat,Legumes,11410,11410,Winter,3751,827081
Laghouat,Legumes,11410,11410,Fall,1310,190992
Laghouat,Legumes,11410,11410,Summer,4520,327115
Laghouat,Legumes,11410,11410,Spring,5610,75352
Laghouat,Forage,11410,11410,Winter,2197,987385
Laghouat,Forage,11410,11410,Fall,4928,255869
Laghouat,Forage,11410,11410,Summer,1201,654117
Laghouat,Forage,11410,11410,Spring,4025,995866
SidiBelAbbes,Cereals,214770,214770,Winter,2853,382221
OumElBouaghi,Cereals,214770,214770,Fall,4754,350191
OumElBouaghi,Cereals,38,38,Summer,3072,498088
OumElBouaghi,Cereals,38,38,Spring,2632,622879
OumElBouaghi,Legumes,832,832,Winter,4899,20209
OumElBouaghi,Legumes,832,832,Fall,1873,127357
OumElBouaghi,Legumes,832,832,Summer,5328,331702
OumElBouaghi,Legumes,832,832,Spring,1143,856274
OumElBouaghi,Forage,14884,14884,Winter,1148,216229
OumElBouaghi,Forage,14884,14884,Fall,2284,671260
OumElBouaghi,Forage,14884,14884,Summer,1701,365237
OumElBouaghi,Forage,14884,14884,Spring,4420,967592
BATNA,Cereals,146260,146260,Winter,2725,684140
BATNA,Cereals,146260,146260,Fall,2912,893752
BATNA,Cereals,0,0,Summer,2870,115309
BATNA,Cereals,0,0,Spring,1062,499834
BATNA,Legumes,106,106,Winter,4705,990270
BATNA,Legumes,106,106,Fall,4403,605228
BATNA,Legumes,106,106,Summer,2593,499669
BATNA,Legumes,106,106,Spring,2834,640748
BATNA,Forage,36532,36532,Winter,2463,628547
BATNA,Forage,36532,36532,Fall,2064,65979
BATNA,Forage,36532,36532,Summer,5318,214890
BATNA,Forage,36532,36532,Spring,1771,626180
BEJAIA,Cereals,6854,6854,Winter,2437,390173
BEJAIA,Cereals,6854,6854,Fall,1410,515997
BEJAIA,Cereals,2,2,Summer,2403,231364
BEJAIA,Cereals,2,2,Spring,1787,248775
BEJAIA,Legumes,502,502,Winter,4925,666890
BEJAIA,Legumes,502,502,Fall,5541,355136
BEJAIA,Legumes,502,502,Summer,2485,427757
BEJAIA,Legumes,502,502,Spring,5380,345433
BEJAIA,Forage,3544,3544,Winter,3977,626896
BEJAIA,Forage,3544,3544,Fall,2140,250258
BEJAIA,Forage,3544,3544,Summer,4456,427128
BEJAIA,Forage,3544,3544,Spring,4402,983783
BISKRA,Cereals,29455,29455,Winter,4417,224417
BISKRA,Cereals,29455,29455,Fall,2671,452194
BISKRA,Cereals,0,0,Summer,4437,325061
BISKRA,Cereals,0,0,Spring,4183,979704
BISKRA,Forage,7525,7525,Winter,3715,94836
BISKRA,Forage,7525,7525,Fall,4126,15588
BISKRA,Forage,7525,7525,Summer,5669,234263
BISKRA,Forage,7525,7525,Spring,5458,497239
BECHAR,Cereals,2169,2169,Winter,3104,846784
BECHAR,Cereals,2169,2169,Fall,3479,526203
BECHAR,Cereals,0,0,Summer,3552,266251
BECHAR,Cereals,0,0,Spring,3715,666442
