Wilaya,Product,Production(qx),SizeofLandUsed(ha),Season,Price(da/qx),Consumption
Adrar,Wheat,179048464698794,554,Spring,2204,497393
Adrar,Wheat,17903,554,Summer,3920,339002
Adrar,Wheat,185348,4911,Fall,5875,229437
Adrar,Wheat,185348,4911,Winter,5949,444815
Adrar,Corn,1613646,521,Spring,4173,47538
Adrar,Corn,16136,521,Summer,1253,969744
Adrar,Corn,16136,521,Fall,5839,116280
Adrar,Corn,16136,521,Winter,185348,917987
Adrar,Potatoes,9999040,0,Spring,5123,622902
Adrar,Potatoes,53270,355,Summer,2010,915619
Adrar,Potatoes,54310,361,Fall,2641,277763
Adrar,Potatoes,1040,6,Winter,5660,741797
Adrar,Dates,7896522,28327,Spring,2420,621876
Adrar,Dates,0,28327,Summer,2827,836397
Adrar,Dates,0,28327,Fall,5773,930815
Adrar,Dates,0,28327,Winter,5387,741489
Adrar,Tomatoes,1016,227618,Spring,1339,812670
Adrar,Tomatoes,222914,1020,Summer,5177,815490
Adrar,Tomatoes,3749,7.96,Fall,3185,724551
Adrar,Tomatoes,203585,420,Winter,1969,418111
Adrar,Greenpepper,2093,6.98,Spring,1805,53259
Adrar,Greenpepper,3931,13,Summer,1697,557750
Adrar,Greenpepper,7351,22.16,Fall,3874,125938
Adrar,Greenpepper,20176,161,Winter,2133,329449
Adrar,Aubergines,321,0.69,Spring,5950,304861
Adrar,Aubergines,334,1,Summer,5182,336603
Adrar,Aubergines,334,1,Fall,4301,952124
Adrar,Aubergines,8680,65,Winter,1305,326133
Adrar,Peanuts,763207,64363,Spring,1662,582373
Adrar,Peanuts,770788,857186,Summer,3331,989523
Adrar,Peanuts,26333,915205,Fall,2742,507884
Adrar,Peanuts,523851,978205,Winter,4464,964984
Adrar,lentils,242895,277172,Spring,1722,60241
Adrar,lentils,374221,18234,Summer,4846,566622
Adrar,lentils,23488,249340,Fall,3836,379180
Adrar,lentils,402252,736881,Winter,5560,369408
Adrar,cheakpeas,127920,801974,Spring,1333,415588
Adrar,cheakpeas,822817,581231,Summer,4887,72559
Adrar,cheakpeas,974700,755575,Fall,5245,314769
Adrar,cheakpeas,513073,240441,Winter,4612,782087
Adrar,driedbeans,24715,37192,Spring,4134,631713
Adrar,driedbeans,332986,584097,Summer,5711,113159
Adrar,driedbeans,964682,476892,Fall,4328,779727
Adrar,driedbeans,539708,312629,Winter,1219,67768
Adrar,artichokes,799062,732986,Spring,2818,905611
Adrar,artichokes,544526,280278,Summer,1099,154614
Adrar,artichokes,361401,216327,Fall,5196,706914
Adrar,artichokes,175920,338270,Winter,5551,458437
Adrar,beans,344350,691803,Spring,5510,10461
Adrar,beans,530742,346861,Summer,1217,534912
Adrar,beans,396344,890265,Fall,5300,689776
Adrar,beans,849163,784360,Winter,2807,910906
Adrar,zucchini,882633,313320,Spring,2953,446399
Adrar,zucchini,707698,829283,Summer,2729,329795
Adrar,zucchini,536165,73103,Fall,5995,363002
Adrar,zucchini,154443,496545,Winter,4844,543378
Adrar,cucumbers,929316,196657,Spring,4407,982953
Adrar,cucumbers,308797,100551,Summer,2295,667023
Adrar,cucumbers,754269,235727,Fall,3129,997549
Adrar,cucumbers,911627,110729,Winter,2829,755276
Adrar,watermelons,579092,166207,Spring,1827,739957
Adrar,watermelons,471862,121010,Summer,5078,109467
Adrar,watermelons,610148,607141,Fall,1776,402419
Adrar,watermelons,39104,821145,Winter,2822,798941
Adrar,bananas,88995,26982,Spring,2582,786612
Adrar,bananas,403374,327101,Summer,3507,280051
Adrar,bananas,122088,287140,Fall,3683,67024
Adrar,bananas,234722,175633,Winter,1709,766207
Adrar,onions,826326,75339,Spring,5458,347662
Adrar,onions,528193,545067,Summer,5356,992349
Adrar,onions,779874,227266,Fall,1872,108374
Adrar,onions,800358,529443,Winter,4187,182956
Adrar,garlic,526845,891785,Spring,3168,95681
Adrar,garlic,13232,431363,Summer,4138,765178
Adrar,garlic,686171,962950,Fall,4113,990212
Adrar,garlic,807081,286511,Winter,2396,661516
Adrar,carrots,463331,224924,Spring,1934,683771
Adrar,carrots,559954,73617,Summer,3913,750719
Adrar,carrots,735799,526843,Fall,5630,172793
Adrar,carrots,201955,75459,Winter,3361,352875
Adrar,greencabbages,567198,837540,Spring,4923,625455
Adrar,greencabbages,903282,551617,Summer,4889,787255
Adrar,greencabbages,950019,802086,Fall,1529,818822
Adrar,greencabbages,386648,568694,Winter,5605,258772
Adrar,cauliflower,761386,34775,Spring,1547,863612
Adrar,cauliflower,22497,454339,Summer,5603,497171
Adrar,cauliflower,564836,687553,Fall,5900,436942
Adrar,cauliflower,260462,736756,Winter,5182,820376
Adrar,turnips,766336,213554,Spring,3655,889104
Adrar,turnips,674862,575004,Summer,2041,95802
Adrar,turnips,240460,834117,Fall,2435,869102
Adrar,turnips,711866,948625,Winter,2911,580758
Adrar,olives,422054,187522,Spring,2611,64763
Adrar,olives,496894,267740,Summer,3802,850632
Adrar,olives,807315,388251,Fall,5732,349607
Adrar,olives,70077,479598,Winter,3755,134249
Adrar,oranges,133063,222987,Spring,3201,891171
Adrar,oranges,579069,236409,Summer,2272,936393
Adrar,oranges,292326,129974,Fall,3133,451221
Adrar,oranges,80204,666882,Winter,1144,23503
Adrar,lemons,387753,696316,Spring,5991,312078
Adrar,lemons,122057,849956,Summer,5858,766751
Adrar,lemons,578660,630101,Fall,4085,615654
Adrar,lemons,556490,167377,Winter,3559,720694
Adrar,tangerines,429584,31705,Spring,4562,794383
Adrar,tangerines,504754,429686,Summer,2484,754480
Adrar,tangerines,947051,566675,Fall,2509,618240
Adrar,tangerines,982384,512182,Winter,2784,339315
Chlef,Wheat,15250,35,Spring,2562,847592
Chlef,Wheat,15250,35,Summer,4965,848844
Chlef,Wheat,374680,56560,Fall,2608,758140
Chlef,Wheat,374680,56560,Winter,3133,261626
Chlef,Corn,0,0,Spring,3060,844216
Chlef,Corn,0,0,Summer,5311,130666
Chlef,Corn,0,0,Fall,4874,784008
Chlef,Corn,0,0,Winter,3330,440912
Chlef,Potatoes,0,0,Spring,4097,493837
Chlef,Potatoes,0,0,Summer,4775,206913
Chlef,Potatoes,1295530,4290,Fall,1777,565836
Chlef,Potatoes,704760,2036,Winter,2923,736833
Chlef,Dates,0,0,Spring,4631,86601
Chlef,Dates,0,0,Summer,2192,141419
Chlef,Dates,0,0,Fall,1793,306446
Chlef,Dates,0,0,Winter,2836,278337
Chlef,Tomatoes,0,0,Spring,4307,671451
Chlef,Tomatoes,815600,891,Summer,4219,179811
Chlef,Tomatoes,402070,430.76,Fall,5956,649305
Chlef,Tomatoes,475650,906,Winter,5126,512294
Chlef,Greenpepper,8674,35.72,Spring,3618,663273
Chlef,Greenpepper,0,0,Summer,2152,585469
Chlef,Greenpepper,1990,10.2,Fall,3075,384346
Chlef,Greenpepper,2970,31,Winter,5086,294021
Chlef,Aubergines,0,0,Spring,3038,982034
Chlef,Aubergines,0,0,Summer,1348,488397
Chlef,Aubergines,0,0,Fall,3168,578335
Chlef,Aubergines,10600,27,Winter,4610,100555
Chlef,Peanuts,110176,924953,Spring,5680,721580
Chlef,Peanuts,337396,247297,Summer,5694,767153
Chlef,Peanuts,138385,428130,Fall,3343,865857
Chlef,Peanuts,430681,252443,Winter,4092,209508
Chlef,lentils,656786,166727,Spring,2853,515113
Chlef,lentils,110695,454623,Summer,1181,634810
Chlef,lentils,593190,767207,Fall,1645,322808
Chlef,lentils,218514,759697,Winter,1245,474141
Chlef,cheakpeas,204210,925039,Spring,5670,221523
Chlef,cheakpeas,334704,208750,Summer,4427,778296
Chlef,cheakpeas,249859,572024,Fall,1875,815457
Chlef,cheakpeas,764243,382319,Winter,3898,147458
Chlef,driedbeans,108883,564088,Spring,3493,289817
Chlef,driedbeans,419891,51239,Summer,3852,614865
Chlef,driedbeans,30435,116692,Fall,1436,970083
Chlef,driedbeans,715871,222290,Winter,5224,60317
Chlef,artichokes,753883,521291,Spring,1606,177095
Chlef,artichokes,962361,914019,Summer,3362,470335
Chlef,artichokes,447584,396763,Fall,4629,937243
Chlef,artichokes,667209,10165,Winter,3877,343212
Chlef,beans,509057,669375,Spring,5945,492053
Chlef,beans,904887,300209,Summer,5567,260035
Chlef,beans,192107,225150,Fall,5637,941894
Chlef,beans,177053,633462,Winter,3199,795071
Chlef,zucchini,239421,320012,Spring,2099,116607
Chlef,zucchini,286222,920350,Summer,3973,557632
Chlef,zucchini,951757,240558,Fall,3626,202960
Chlef,zucchini,893325,367548,Winter,2988,949669
Chlef,cucumbers,155391,743798,Spring,4126,416550
Chlef,cucumbers,970578,791517,Summer,1136,775084
Chlef,cucumbers,861353,622514,Fall,2040,182213
Chlef,cucumbers,50370,499905,Winter,4341,867438
Chlef,watermelons,578204,488967,Spring,5836,796466
Chlef,watermelons,382706,59045,Summer,2453,543920
Chlef,watermelons,27922,977743,Fall,5133,281076
Chlef,watermelons,127898,191566,Winter,2705,689499
Chlef,bananas,759074,967107,Spring,3394,274020
Chlef,bananas,936307,96538,Summer,3115,288555
Chlef,bananas,907768,817772,Fall,2267,39926
Chlef,bananas,521668,96319,Winter,1619,30516
Chlef,onions,234340,747749,Spring,3000,454709
Chlef,onions,545443,758129,Summer,3801,412593
Chlef,onions,921246,282842,Fall,4303,616253
Chlef,onions,656613,473458,Winter,4553,358025
Chlef,garlic,325511,750322,Spring,1398,274032
Chlef,garlic,329201,9637,Summer,3800,480839
Chlef,garlic,580070,283886,Fall,1649,818799
Chlef,garlic,95642,271042,Winter,4906,609742
Chlef,carrots,300654,58431,Spring,4732,137928
Chlef,carrots,385052,549061,Summer,3622,272839
Chlef,carrots,579765,32266,Fall,5208,255293
Chlef,carrots,844789,931250,Winter,4485,431713
Chlef,greencabbages,400292,391062,Spring,2995,643408
Chlef,greencabbages,291910,444565,Summer,2624,608572
